127.0.0.1 - - [30/Jan/2019:17:58:40 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:19 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:20 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:20 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:20 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:21 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:21 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:21 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:22 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:22 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:22 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:23 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:23 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:23 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:23 +0100] "GET /ProjekatWP/profileImages/neki%20novi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:26 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:26 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:26 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:26 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:28 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:28 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:28 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:28 +0100] "GET /ProjekatWP/profileImages/neki%20novi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:29 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:29 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:29 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:30 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:30 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:02:30 +0100] "GET /ProjekatWP/rest/emergency/getByVolunteer/5 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:04:39 +0100] "POST /ProjekatWP/rest/users/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:04:40 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:04:40 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:04:40 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:04:40 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:11 +0100] "GET /ProjekatWP/emergency.html?emergencyID=2 HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:12 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:12 +0100] "GET /ProjekatWP/rest/emergency/2 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:12 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:12 +0100] "GET /ProjekatWP/rest/comments/getByEmergency/2 HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:18 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:23 +0100] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:25 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:25 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:25 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:25 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:32 +0100] "POST /ProjekatWP/rest/users/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:33 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:33 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:33 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:33 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:35 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:38 +0100] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:11:59 +0100] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:01 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:01 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:01 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:01 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:22 +0100] "GET /ProjekatWP/editTerritory.html HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:22 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:12:22 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:20:20:54 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:20:20:54 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:20:20:54 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:20:20:54 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:20:22:29 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:10:42 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:10:56 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:10:56 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:10:57 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:10:57 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:02 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:18 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/index.html HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/js/printNavBar.js HTTP/1.1" 200 5076
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/css/style.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/css/authentication.css HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:23:11:27 +0100] "GET /ProjekatWP/emergencyImages/Bagljas.jpg HTTP/1.1" 200 14982
